Version,Numeric,Alphanumeric,Binary
1,27,16,11
2,48,29,20
3,77,47,32
4,111,67,46
5,144,87,60
6,178,108,74
7,207,125,86
8,259,157,108
9,312,189,130
10,364,221,151
11,427,259,177
12,489,296,203
13,580,352,241
14,621,376,258
15,703,426,292
16,775,470,322
17,876,531,364
18,948,574,394
19,1063,644,442
20,1159,702,482
21,1224,742,509
22,1358,823,565
23,1468,890,611
24,1588,963,661
25,1718,1041,715
26,1804,1094,751
27,1933,1172,805
28,2085,1263,868
29,2181,1322,908
30,2358,1429,982
31,2473,1499,1030
32,2670,1618,1112
33,2805,1700,1168
34,2949,1787,1228
35,3081,1867,1283
36,3244,1966,1351
37,3417,2071,1423
38,3599,2181,1499
39,3791,2298,1579
40,3993,2420,1663